Id,Title,Description,Type,BodyPart,Equipment,Level,Rating,RatingDesc
873,Standing barbell calf raise,"The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.",Strength,Calves,Barbell,Beginner,8.2,Average
874,Barbell Seated Calf Raise,,Strength,Calves,Barbell,Beginner,7.6,Average
876,Calf Raise On A Dumbbell,,Strength,Calves,Dumbbell,Beginner,4.8,Average
880,Balance Board,,Strength,Calves,Other,Beginner,7.5,Average
881,Weighted donkey calf raise,"The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another pers",Strength,Calves,Other,Intermediate,7.4,Average
882,Anterior Tibialis-SMR,,Stretching,Calves,Other,Beginner,5.3,Average
883,Foot-SMR,,Stretching,Calves,Other,Beginner,2.7,Average
886,Smith Machine Calf Raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of t",Strength,Calves,Machine,Intermediate,9.2,Average
887,Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,9.0,Average
888,Seated Calf Raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of",Strength,Calves,Machine,Intermediate,8.7,Average
889,Calf Press On The Leg Press Machine,"The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves.",Strength,Calves,Machine,Intermediate,8.7,Average
890,Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,8.5,Average
891,Smith Machine Reverse Calf Raises,,Strength,Calves,Machine,Beginner,7.3,Average
904,Peroneals-SMR,,Stretching,Calves,Body Only,Intermediate,6.4,Average
905,Knee Circles,,Stretching,Calves,Body Only,Beginner,6.3,Average
906,Standing Gastrocnemius Calf Stretch,,Stretching,Calves,Body Only,Intermediate,5.6,Average
907,Wall calf stretch,The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.,Stretching,Calves,Body Only,Intermediate,5.3,Average
908,Seated Calf Stretch,,Stretching,Calves,Body Only,Intermediate,4.1,Average
912,Ankle Circles,,Stretching,Calves,None,Beginner,7.2,Average
913,Calf Stretch Elbows Against Wall,,Stretching,Calves,None,Beginner,4.9,Average
914,Standing Soleus And Achilles Stretch,,Stretching,Calves,None,Beginner,4.2,Average
915,Cross Over - With Bands,,Strength,Chest,Bands,Beginner,8.3,Average
916,Bench Press - With Bands,,Strength,Chest,Bands,Beginner,5.5,Average
917,Bench Press With Short Bands,,Powerlifting,Chest,Bands,Beginner,0.0,
918,Feet-Elevated TRX Push-Up,,Strength,Chest,Bands,Beginner,0.0,
927,Close-grip bench press,"The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the tric",Strength,Chest,Barbell,Intermediate,9.1,Average
928,Barbell Bench Press - Medium Grip,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength,Chest,Barbell,Intermediate,9.0,Average
929,Decline barbell bench press,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-bod",Strength,Chest,Barbell,Intermediate,8.9,Average
930,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find the",Strength,Chest,Barbell,Beginner,8.9,Average
931,Wide-Grip Decline Barbell Bench Press,,Strength,Chest,Barbell,Beginner,8.9,Average
932,Barbell Incline Bench Press Medium-Grip,The incline bench press is an upper body compound movement that targets the upper chest.,Strength,Chest,Barbell,Intermediate,8.8,Average
933,Neck Press,,Strength,Chest,Barbell,Beginner,8.8,Average
934,Front Raise And Pullover,,Strength,Chest,Barbell,Beginner,8.3,Average
935,Board bench press,"The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you ca",Powerlifting,Chest,Barbell,Intermediate,7.7,Average
936,Barbell Bench Press-Wide Grip,"The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.",Strength,Chest,Barbell,Beginner,7.6,Average
937,Wide-Grip Decline Barbell Pullover,,Strength,Chest,Barbell,Beginner,7.3,Average
938,Barbell Guillotine Bench Press,,Strength,Chest,Barbell,Beginner,6.7,Average
953,Kettlebell plyo push-up,"The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps o",Strength,Chest,Kettlebells,Intermediate,8.0,Average
954,Extended Range One-Arm Kettlebell Floor Press,,Strength,Chest,Kettlebells,Beginner,6.3,Average
955,Kettlebell alternating floor press,"The kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift, ove",Strength,Chest,Kettlebells,Beginner,6.0,Average
956,One-Arm Kettlebell Floor Press,,Strength,Chest,Kettlebells,Beginner,0.0,
957,Leg-Over Floor Press,,Strength,Chest,Kettlebells,Beginner,0.0,
960,Pushups,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upp",Strength,Chest,Body Only,Intermediate,9.2,Average
961,Incline Push-Up,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Strength,Chest,Body Only,Intermediate,8.8,Average
962,Hands-elevated push-up,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the tri",Strength,Chest,Body Only,Beginner,8.7,Average
963,Decline Push-Up,"The feet-elevated push-up is a variation on the push-up, a body-weight standard. The feet are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Strength,Chest,Body Only,Intermediate,8.6,Average
964,Single-Arm Push-Up,,Strength,Chest,Body Only,Beginner,8.6,Average
965,Close push-up to wide push-up,"The close push-up to wide push-up combines two variations of a push-up to emphasize the strengthening of different muscles. The close push-up emphasizes the triceps, while the wide push-up emphasizes the chest and shoulders.",Strength,Chest,Body Only,Intermediate,8.5,Average
966,Wide-grip hands-elevated push-up,"The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra wid",Strength,Chest,Body Only,Beginner,8.5,Average
967,Push-Ups With Feet On An Exercise Ball,,Strength,Chest,Body Only,Intermediate,8.5,Average
968,Feet-elevated push-up,"The feet-elevated push-up is a variation on the push-up, a bodyweight standard. The feet are elevated so that your body is aligned at an angle to the floor rather than parallel. This makes it more difficult than push-ups on the floor, but also puts more",Strength,Chest,Body Only,Intermediate,8.5,Average
969,Isometric Wipers,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength,Chest,Body Only,Beginner,8.4,Average
970,Clock push-up,"The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and",Strength,Chest,Body Only,Beginner,8.4,Average
971,Incline Push-Up Depth Jump,,Plyometrics,Chest,Body Only,Intermediate,8.3,Average
972,Push-Up Wide,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wid",Strength,Chest,Body Only,Beginner,8.3,Average
973,Sphinx push-up,"The sphinx push-up is a difficult variation of the push-up that ends with the forearms on the ground in front of the body, rather than with the chest on the ground. It puts more stress on the triceps than traditional push-ups. It can be performed for tim",Strength,Chest,Body Only,Intermediate,8.0,Average
974,Close-Hands Push-Up,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength,Chest,Body Only,Beginner,7.8,Average
975,Tiger-bend push-up,The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.,Strength,Chest,Body Only,Beginner,7.6,Average
976,Plyo push-up,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics,Chest,Body Only,Beginner,7.5,Average
977,Close-grip hands-elevated push-up,"The close-grip hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than close-grip push-ups on the floor, but also puts the em",Strength,Chest,Body Only,Intermediate,7.4,Average
978,Suspended push-up,"The suspended push-up is a bodyweight pushing exercise performed on a suspension strap system or gymnastic rings. It targets the chest, shoulders, and triceps, but is also challenging to the core and upper back. It can work in traditional strength and mu",Strength,Chest,Body Only,Intermediate,7.3,Average
979,Push Up to Side Plank,"The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can",Strength,Chest,Body Only,Intermediate,7.1,Average
980,Isometric Chest Squeezes,,Plyometrics,Chest,Body Only,Beginner,7.1,Average
981,Side-to-side push-up,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,Strength,Chest,Body Only,Beginner,6.7,Average
982,Typewriter push-up,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength,Chest,Body Only,Beginner,0.0,
983,Diamond push-up,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",Strength,Chest,Body Only,Intermediate,0.0,
984,Judo push-up,"The judo push-up is an advanced push-up variation that blends elements of the yoga poses downward- and upward-facing dog. This movement increases the demands on the shoulders, but also has mobility benefits. It can work in a dynamic warm-up or mobility-f",Strength,Chest,Body Only,Beginner,0.0,
985,Superman Push-Up,,Plyometrics,Chest,Body Only,Beginner,0.0,
986,Wide push-up,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wid",Strength,Chest,Body Only,Beginner,0.0,
987,One-Arm Push-Up,,Strength,Chest,Body Only,Beginner,0.0,
988,Clapping Push-Up,"Also known as a plyo push-up, the clapping push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher r",Plyometrics,Chest,Body Only,Beginner,0.0,
989,Staggered push-up,"The staggered push-up is a variation of the push-up exercise where your hand position is staggered, with one hand forward and one back. It targets the same muscles as a traditional push-up, including the chest, triceps, and shoulders, but is more difficu",Strength,Chest,Body Only,Beginner,0.0,Average
990,Reverse-grip hands-elevated push-up,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechani",Strength,Chest,Body Only,Beginner,0.0,Average
991,Triple Clap Push-Up,,Plyometrics,Chest,Body Only,Beginner,0.0,
1048,Leverage Incline Chest Press,,Strength,Chest,Machine,Beginner,8.6,Average
1049,Butterfly,"The machine chest fly is an exercise targeting the chest. The motion is often compared to bear-hugging a tree trunk. In chest workouts, this exercise often follows compound moves such as the bench press.",Strength,Chest,Machine,Intermediate,8.5,Average
1050,Leverage Chest Press,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength,Chest,Machine,Beginner,8.5,Average
1051,Decline Smith Press,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high",Strength,Chest,Machine,Beginner,8.4,Average
1052,Smith machine bench press,The Smith machine bench press is a machine-based movement targeting the chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It i,Strength,Chest,Machine,Intermediate,8.3,Average
1053,Leverage Decline Chest Press,,Strength,Chest,Machine,Beginner,8.3,Average
1054,Machine chest press,"The machine chest press is a machine-based exercise targeting the chest. It approximates the motion of a bench press but is usually performed facing forward and seated upright. Many machines offer multiple grip options, such as overhand, neutral (palms f",Strength,Chest,Machine,Intermediate,8.2,Average
1055,Smith Machine Incline Bench Press,"The Smith machine incline bench press is a machine-based movement targeting the chest, particularly the upper chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps f",Strength,Chest,Machine,Intermediate,8.0,Average
1056,Smith Machine Close-Grip Bench Press,The Smith machine close-grip bench press is a machine-based movement targeting the chest and triceps. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and s,Strength,Chest,Machine,Intermediate,8.0,Average
1057,Smith Machine Decline Press,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high",Strength,Chest,Machine,Beginner,7.3,Average
1058,Smith machine bench press throw,The Smith machine bench press throw is an exercise that helps develop pushing power that carries over to the traditional bench press. It involves pushing a relatively light weight (such as 30-50 percent of your 1RM) explosively and actually letting go at,Strength,Chest,Machine,Beginner,0.0,
1073,Low-cable cross-over,"The low-cable cross-over is an isolation movement that uses a cable stack to target the upper portion of the pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often in combination with presses or flyes from other an",Strength,Chest,Cable,Intermediate,9.1,Average
1074,Incline cable chest fly,"The incline cable chest fly is an isolation movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often after pressing movements l",Strength,Chest,Cable,Intermediate,9.0,Average
1075,Cable Crossover,"The cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Since it's done using adjustable pulleys, you can target different parts of your chest by setting the pulleys at different levels. It is",Strength,Chest,Cable,Intermediate,8.8,Average
1076,Incline cable chest press,"The incline cable chest press is a pressing movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles, similar to an incline dumbbell press. It is common in upper-body and chest-focused muscle-building work",Strength,Chest,Cable,Beginner,8.7,Average
1077,Cable Chest Press,,Strength,Chest,Cable,Beginner,8.7,Average
1078,Single-arm cable cross-over,The single-arm cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Working the chest one side at a time allows you to focus on the balance between the sides of your chest and really feel the ch,Strength,Chest,Cable,Intermediate,8.6,Average
1079,Cable cross-over,"The cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Since it's done using adjustable pulleys, you can target different parts of your chest by setting the pulleys at different levels. It is",Strength,Chest,Cable,Beginner,8.4,Average
1080,Standing Cable Chest Press,,Strength,Chest,Cable,Beginner,8.2,Average
1081,Lying cable chest fly,"The lying cable chest fly is an isolation movement that uses a cable stack and a flat bench to build bigger and stronger pectoral muscles. It is common in upper-body and chest-focused muscle-building workouts, often as a pre-exhaust at the beginning of a",Strength,Chest,Cable,Intermediate,7.3,Average
1098,Chest Push (multiple response),,Plyometrics,Chest,Medicine Ball,Beginner,8.3,Average
1099,Medicine Ball Chest Pass,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back-and-forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",Plyometrics,Chest,Medicine Ball,Intermediate,5.9,Average
1100,Medicine ball sprawl to chest press,"The medicine ball sprawl to chest press is a sequence of athletic movements using a medicine ball or other small weight. It involves performing a sprawl with the hands on the ball, followed by a standing chest press holding the ball. It is challenging to",Strength,Chest,Medicine Ball,Intermediate,0.0,
1101,Medicine ball push-up,"The medicine ball push-up is a simple way to make a classic bodyweight exercise more difficult. It targets all the same muscles as the push-up: chest, triceps, shoulders, upper back, and core. The addition of the medicine ball adds a degree of difficulty",Strength,Chest,Medicine Ball,Intermediate,0.0,
1102,Chest Push (single response),,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1103,Chest Push with Run Release,,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1104,Chest Push from 3 point stance,,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1105,Dumbbell Bench Press,"The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s a classic move for building a bigger, stronger chest. As such, it’s often placed first in mass-building chest workouts.",Strength,Chest,Dumbbell,Intermediate,9.2,Average
1106,Dumbbell Flyes,"The dumbbell chest fly is a popular exercise that targets the pectoral or chest muscles. It attempts to isolate the chest muscles, stretching and contracting them while limiting involvement of the shoulders. Unlike a press, where the elbows bend and flex",Strength,Chest,Dumbbell,Intermediate,9.1,Average
1107,Incline dumbbell bench press,"The incline dumbbell bench press is a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-bo",Strength,Chest,Dumbbell,Intermediate,9.1,Average
1108,Decline Dumbbell Flyes,"The decline dumbbell chest fly is an upper body isolation exercise targeting the lower chest. It will require less weight than a decline press, which makes it a great hypertrophy exercise with high reps.",Strength,Chest,Dumbbell,Intermediate,9.0,Average
1109,Reverse-grip incline dumbbell bench press,"The reverse-grip incline dumbbell bench press is an upper-body exercise targeting the pectoral muscles. Pressing with a reverse grip targets the upper chest in particular, especially when performed on an incline. This press variation is usually performed",Strength,Chest,Dumbbell,Beginner,8.9,Average
1110,Incline Dumbbell Flyes,"The incline dumbbell chest fly is an upper body isolation exercise targeting the upper chest and is typically used with aesthetic goals in mind. It will require less weight than an incline press, which makes it a great hypertrophy exercise with high reps",Strength,Chest,Dumbbell,Intermediate,8.8,Average
1111,Neutral-grip dumbbell bench press,"The neutral-grip dumbbell bench press is a variation on a classic chest-building exercise where the palms face each other instead of forward. This shift puts the elbows closer to the sides, placing more emphasis on the triceps, and perhaps also the inner",Strength,Chest,Dumbbell,Intermediate,8.7,Average
1112,Decline dumbbell bench press,"The decline dumbbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-bo",Strength,Chest,Dumbbell,Intermediate,8.5,Average
1113,Single-arm kettlebell row,"The single-arm kettlebell row is a popular muscle- and strength-building exercise that works the muscles of the back and core simultaneously. It has all the same benefits as a single-arm dumbbell row, but some people find a kettlebell more comfortable to",Strength,Chest,Dumbbell,Intermediate,8.5,Average
1114,Hammer Grip Incline DB Bench Press,,Strength,Chest,Dumbbell,Beginner,8.5,Average
1115,Straight-arm dumbbell pull-over,"The straight-arm dumbbell pull-over is an exercise that targets the muscles of the pecs, lats, and serratus anterior muscles. Performing this movement with straight arms makes it more difficult, increases the stretch on the serratus muscles and lats, and",Strength,Chest,Dumbbell,Intermediate,8.4,Average
1116,Incline Dumbbell Bench With Palms Facing In,,Strength,Chest,Dumbbell,Beginner,8.4,Average
1117,Incline Dumbbell Flyes - With A Twist,,Strength,Chest,Dumbbell,Beginner,8.3,Average
1118,Bent-arm dumbbell pull-over,"The bent-arm dumbbell pull-over was a staple exercise of the ""Golden Era"" of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise targets the pecs, lats, and serratus anterior muscles. Old-school bodybuilders would pe",Strength,Chest,Dumbbell,Intermediate,8.2,Average
1119,Close-grip dumbbell bench press,"The close-grip dumbbell bench press is a popular variation of the dumbbell bench press in which the dumbbells are held closer than shoulder width. This places more emphasis on the triceps, and perhaps also the inner chest. The close-grip dumbbell bench p",Strength,Chest,Dumbbell,Intermediate,8.1,Average
1120,Single-dumbbell push-up,"The single-dumbbell push-up is a more difficult push-up variation where you balance your hands on the ends of a dumbbell. This simple change makes many muscle groups work harder, helping encourage muscle and strength gains across the upper body.",Strength,Chest,Dumbbell,Intermediate,7.3,Average
1121,One-Arm Flat Bench Dumbbell Flye,,Strength,Chest,Dumbbell,Beginner,6.5,Average
1155,Bodyweight Flyes,"The double-bar roll-out chest fly is a chest exercise that utilizes two rotating barbells as ""handles"" for a chest fly. It targets the muscles of the chest, but is also an intense core workout. It's a tough movement that is usually performed in the chest",Strength,Chest,E-Z Curl Bar,Beginner,9.0,Average
1156,Close-grip EZ-bar bench press,"The close-grip EZ-bar bench press is an exercise targeting the chest, shoulders, and triceps. This move is more commonly done with a straight bar and is often only performed with an EZ-bar as part of a complex of movements such as pull-overs or skullcrus",Strength,Chest,E-Z Curl Bar,Intermediate,8.8,Average
1157,Chest dip,"The chest dip is a bodyweight exercise performed on parallel bars or on a pull-up and dip station. It targets the chest, triceps, and shoulders. Dips with a chest focus are usually performed with the torso leaning forward and the elbows angled out from t",Strength,Chest,Other,Intermediate,9.0,Average
1158,Drop Push,,Plyometrics,Chest,Other,Beginner,8.8,Average
1159,Forward Drag with Press,,Strongman,Chest,Other,Beginner,6.0,Average
1160,Chain Press,,Powerlifting,Chest,Other,Beginner,5.6,Average
1161,Behind Head Chest Stretch,,Stretching,Chest,Other,Beginner,4.9,Average
1162,Pass-through stretch with band,The pass-through stretch with band is a popular move to build and maintain mobility in the shoulder joint and to strengthen the muscles of the upper back and rotator cuff. It is common in CrossFit and Olympic lifting training and is usually performed as,Stretching,Chest,Other,Beginner,3.0,Average
1163,Weighted Push-Up,"The plate-weighted push-up is a simple way to make a classic bodyweight exercise more difficult. It targets all the same muscles as the push-up: chest, triceps, shoulders, upper back, and core. You can balance a plate on your upper back yourself, but it'",Strength,Chest,Other,Intermediate,0.0,
1164,Heavy Bag Thrust,,Plyometrics,Chest,Other,Beginner,0.0,Average
1165,Decline Explosive Push-Up,,Plyometrics,Chest,Other,Beginner,0.0,
1166,Suspended Chest Fly,,Strength,Chest,Other,Beginner,0.0,
1167,Svend press,The Svend press is an exercise where the chest is targeted by performing presses while squeezing two weight plates together. It is usually performed for relatively high reps with light weights as an accessory movement to the bench press or as a burnout m,Strength,Chest,Other,Beginner,0.0,
1168,Bar Push-Up Smith Machine,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Plyometrics,Chest,Other,Beginner,0.0,
1174,Exercise ball chest stretch,"The exercise ball chest stretch is a simple stretch for the pectoral muscles that can be made more dynamic with help from a medicine ball. It can work in a dynamic warm-up, paired with movements in a workout, or as part of a cool-down or recovery strateg",Stretching,Chest,Exercise Ball,Beginner,3.6,Average
1175,Bosu Ball Push-Up,,Strength,Chest,Exercise Ball,Beginner,0.0,Average
1179,Palms-down wrist curl over bench,"The palms-down wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Barbell,Intermediate,9.5,Average
1180,Palms-up wrist curl over bench,"The palms-up wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Barbell,Intermediate,9.4,Average
1181,Standing behind-the-back wrist curl,"The standing behind-the-back wrist curl is a popular exercise to target the muscles in the forearms, wrists, and fingers. It is generally performed for moderate to high reps, such as 8-15 reps per set, and can work as isolated forearm training or as part",Strength,Forearms,Barbell,Beginner,9.3,Average
1182,Seated finger curl,"The seated finger curl is an exercise targeting the muscles of the hands and forearms. It is popular with rock climbers and other athletes looking to build forearm size and strength. The range of motion is tiny, but done for moderate to high reps, these",Strength,Forearms,Barbell,Beginner,9.3,Average
1183,Seated palms-up wrist curl,"The seated palms-up wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Barbell,Intermediate,8.7,Average
1184,Bottoms-Up Clean From The Hang Position,,Strength,Forearms,Kettlebells,Beginner,8.3,Average
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,,Strength,Forearms,Dumbbell,Beginner,9.0,Average
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,,Strength,Forearms,Dumbbell,Beginner,8.6,Average
1187,Seated palms-down wrist curl,"The seated palms-down wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.",Strength,Forearms,Dumbbell,Beginner,8.4,Average
1188,Palms-Down Dumbbell Wrist Curl Over A Bench,,Strength,Forearms,Dumbbell,Beginner,8.4,Average
1189,Seated One-Arm Dumbbell Palms-Down Wrist Curl,,Strength,Forearms,Dumbbell,Beginner,8.3,Average
1190,Seated Dumbbell Palms-Up Wrist Curl,,Strength,Forearms,Dumbbell,Beginner,6.2,Average
1191,Partner farmer's walk,"The partner farmer's walk is a protocol for performing farmer's carries with dumbbells or other weights. One partner walks for a predetermined distance or time, then passes the weight to the other partner who walks for the same distance or time.",Strength,Forearms,Dumbbell,Beginner,5.3,Average
1192,Dumbbell suitcase carry,"The dumbbell suitcase carry is similar to a dumbbell farmer's carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well i",Strength,Forearms,Dumbbell,Intermediate,0.0,
1193,Suitcase Dumbbell Carry,"The dumbbell suitcase carry is similar to a dumbbell farmer’s carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well",Strength,Forearms,Dumbbell,Intermediate,0.0,Average
1195,Rickshaw Carry,,Strongman,Forearms,Other,Beginner,9.6,Average
1196,Dumbbell farmer's walk,"The dumbbell farmer's walk is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an acc",Strongman,Forearms,Other,Intermediate,9.4,Average
1197,Wrist Roller,,Strength,Forearms,Other,Beginner,9.1,Average
1198,Standing Olympic Plate Hand Squeeze,,Strength,Forearms,Other,Beginner,8.6,Average
1199,Plate Pinch,,Strength,Forearms,Other,Beginner,8.3,Average
1203,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,,Strength,Forearms,Cable,Beginner,9.2,Average
1204,Cable Wrist Curl,,Strength,Forearms,Cable,Beginner,7.8,Average
1206,Wrist Circles,,Stretching,Forearms,Body Only,Beginner,2.5,Average
1207,Kneeling Forearm Stretch,,Stretching,Forearms,None,Beginner,5.2,Average
1208,Hip Extension with Bands,,Strength,Glutes,Bands,Beginner,7.2,Average
1209,Hip Lift with Band,,Powerlifting,Glutes,Bands,Beginner,6.0,Average
1213,Piriformis SMR,"Piriformis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the piriformis muscles in t",Stretching,Glutes,Foam Roll,Intermediate,6.6,Average
1214,Barbell glute bridge,"The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body wor",Powerlifting,Glutes,Barbell,Intermediate,9.4,Average
